id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
652630.0;1468058.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;3;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1173231.0;Motocicleta;YAMAHA/YBR125 FACTOR K1;2013.0;Condutor;Lesões Leves;42.0;Masculino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652630.0;1468061.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;3;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;80.0;Feminino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652630.0;1468058.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;2;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1173231.0;Motocicleta;YAMAHA/YBR125 FACTOR K1;2013.0;Condutor;Lesões Leves;42.0;Masculino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652630.0;1468061.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;2;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;80.0;Feminino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652630.0;1468058.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1173231.0;Motocicleta;YAMAHA/YBR125 FACTOR K1;2013.0;Condutor;Lesões Leves;42.0;Masculino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652630.0;1468061.0;2025-01-01;quarta-feira;18:37:00;RN;226.0;4;NATAL;Sim;Pedestre andava na pista;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;80.0;Feminino;0.0;1.0;0.0;0.0;-5,81958019;-35,25969486;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
652642.0;1468098.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Lesões Leves;15.0;Feminino;0.0;1.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
652642.0;1468097.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Lesões Leves;49.0;Feminino;0.0;1.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
652642.0;1468094.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Lesões Leves;6.0;Masculino;0.0;1.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
652642.0;1468091.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Lesões Leves;39.0;Feminino;0.0;1.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
